hour,day_of_week,road_type,distance,is_peak_hour,congestion_level,travel_time
6,0,2,28.47033564393422,0,0.29629117272412325,63.01562754702982
19,6,1,15.425948885366102,1,0.665943993091457,48.57151023736953
14,2,1,1.764241882891528,0,0.5753200014453943,4.852680887959932
10,1,0,36.56517934119124,0,0.5971807592045263,67.47559913698119
7,0,1,48.966952702570424,1,0.7489162142268686,161.01770410865979
20,5,1,36.52902517845596,0,0.3398481133525739,65.23932625511716
6,6,2,4.660597970429423,0,0.2756551605047553,11.855219884071461
18,5,0,31.684783710958914,1,0.7070175855722992,86.58868617169064
22,6,0,41.52258132239205,0,0.09119847289305083,46.150516693524224
10,1,1,8.484547825755996,0,0.32875200144718203,13.765531889920503
10,0,2,49.05352784262983,0,0.34256433496181526,111.17155638954318
23,1,0,31.369138030361654,0,0.21467679695591083,42.99626981588748
20,5,2,49.11192768969417,0,0.2596523155708073,101.55219233809632
3,5,1,31.69313234409417,0,0.0933481958828235,44.68362742712231
7,1,1,33.60057043132263,1,0.8813791723728257,120.35981669383676
23,6,0,38.09959298224012,0,0.09021829098641848,41.86424481364587
2,1,1,40.288939639280535,0,0.1754248559883426,61.271329693679554
21,3,2,43.981286997087,0,0.38061299388300096,102.10817276687236
20,0,2,37.727888802163896,0,0.39369005965391646,91.99442415475885
1,3,1,23.24271978336382,0,0.10427564437486649,31.54383974948974
23,1,1,13.06584722983608,0,0.13336323577516027,16.852415599730595
11,4,2,20.15827136241559,0,0.30096722525695335,43.3995387699475
5,5,1,46.033255917761785,0,0.07435404370880741,60.83963015124799
1,2,1,43.221464626760415,0,0.14556801062268193,63.27635315835302
20,0,1,18.43412962977696,0,0.4611019070531329,37.584445137107494
0,0,2,21.451447539835062,0,0.14540260396709717,38.13758854172385
11,5,1,15.065032658232074,0,0.3090783568503705,28.263623307360938
21,2,2,31.29083381960374,0,0.35759424616979535,72.29829785571313
11,3,0,18.32202216594075,0,0.5041475330870956,31.67521434769535
16,2,1,40.271999676978375,0,0.4737219627392129,83.5634430454365
9,4,1,24.06421146002792,1,0.8044722029148008,80.9015219369575
15,1,1,11.396059216034672,0,0.37672214350764116,22.218814488526966
14,2,0,22.56506277482057,0,0.665026046427729,45.551577532547164
14,6,1,36.89229841682562,0,0.39771437574430984,69.90077021256265
18,2,2,22.9603139839479,1,0.5887469937298845,84.75399868597447
11,1,1,28.817617628888062,0,0.48031561174739,58.93075010175588
22,5,2,45.74614321406091,0,0.07236678520726414,74.51005950198423
19,0,2,35.79468803161826,1,0.7216178505355725,145.85255770741193
2,5,2,49.84346510489139,0,0.07087595633627156,81.38885530140895
4,6,2,4.290187679384582,0,0.0799318217018971,7.899716025882288
18,4,2,37.64424944018366,1,0.6114836298089918,140.59123419155867
6,5,1,36.76841618707385,0,0.24292094376992152,60.20703618735819
20,2,1,5.889028743497368,0,0.3962081543630202,9.790871243324542
8,2,1,48.31396279242496,1,0.6616601485153575,150.07066505403094
6,0,2,42.339238973552824,0,0.3076995796836397,93.46220263896356
17,4,0,25.827647570725745,1,1.0,85.82265886439588
3,1,1,11.412013863048998,0,0.1338236423370111,14.580123939624185
13,1,1,9.728043865468544,0,0.569983305999775,22.451726115197847
17,3,1,6.8183182064287085,1,0.8093302323587096,22.400488697407848
8,4,2,10.077960277343905,1,0.7039615692852575,39.267866825940466
20,4,1,46.2731598173164,0,0.4415254865942666,93.25304958097716
1,2,2,31.92765819679036,0,0.09924084263544711,54.36395221866645
19,3,1,6.6719459662612515,1,0.8288428105106918,23.17571605647596
14,1,1,46.12132285975122,0,0.4041871062964011,90.60332912689924
6,6,2,3.162498451526747,0,0.18613861511900656,4.103423056143977
11,4,2,20.749660683872136,0,0.33366591245740906,45.73670626254437
7,4,1,37.25999374651994,1,0.8146310582715883,128.03720307971398
14,0,2,41.18829883571612,0,0.34000223027878623,91.75714675032856
2,1,2,42.23349708432456,0,0.10658300480937566,74.81864733719547
13,0,2,47.28653188473353,0,0.39215605957272365,111.72807631159698
16,3,0,13.760159444233365,0,0.443276395796249,24.79030298655329
3,4,2,19.43291783622495,0,0.1335195940707111,35.02763949978355
17,3,2,31.878589730993284,1,0.7521306627674629,133.0823709348345
7,5,0,43.89259502810291,1,0.553535778422799,102.84495652998072
3,0,2,30.247842000170266,0,0.11586149305584514,54.09444199998244
1,1,0,13.968300810952904,0,0.1873227128657652,16.833028290626668
5,4,1,40.19990893545421,0,0.19782755678376573,63.61685901145736
21,5,1,45.14851250174134,0,0.2862862626840091,79.22981525354305
9,5,1,0.9136436545379507,1,0.4226358656648016,1.8585390813130203
3,1,2,0.7508443255854055,0,0.13809133497640685,1.5327109992825594
21,3,0,47.722982900569306,0,0.366972516053917,73.33367146288481
17,5,1,28.046905116689057,1,0.5295433963065677,76.6447489280679
11,2,2,4.869595055680492,0,0.2799085343714559,8.687651983280604
1,1,1,18.144320781116633,0,0.16601537866155255,26.985881529210072
9,5,1,28.57947230348391,1,0.5908711000795568,86.0978171475698
3,1,1,31.44861925519759,0,0.13963015935545875,47.20333269698753
13,1,2,8.57668252280001,0,0.39442826387347024,19.56756478553747
15,4,0,42.08251831903533,0,0.5360898639350958,77.73536761567743
14,3,0,27.472481270338275,0,0.6878610431154214,54.857497382577606
7,3,0,26.496761481109928,1,1.0,87.74807900277243
13,4,0,27.27499233517193,0,0.4880409214936605,45.9422868824071
22,1,2,3.5816636628980163,0,0.15184011641948397,8.323920149666883
7,1,2,37.7315068719501,1,0.646019361869666,143.77838003376772
20,2,2,4.487789016051837,0,0.27233300626502327,7.949835150386176
15,5,1,23.43088487225342,0,0.34295360407998754,42.87150727513388
12,1,0,29.658662323781275,0,0.51865676287484,51.77897463256605
17,5,2,10.968240951923873,1,0.45496220026484435,34.49520151782488
14,0,1,24.366820176096166,0,0.4910909772906969,50.432064353150274
20,5,1,14.678951898567078,0,0.2735295551714729,26.61712853712669
23,1,1,35.62605929081851,0,0.1823155113028374,56.14000334320731
12,2,0,26.914889682667145,0,0.683909461436402,52.62358147854679
8,0,2,5.084717059724696,1,0.48745674259538774,17.72235109392232
14,2,1,30.193729907489374,0,0.5782021121350283,67.88845454431839
12,5,2,7.244965652814163,0,0.28792242862068573,16.436319586167375
0,2,1,0.6361140763987525,0,0.18007574283523475,0.4515101746052931
6,5,1,7.739962518138837,0,0.29650674277370737,13.273219013594295
8,3,2,0.712693723427898,1,0.517104330442773,1.223029580770231
23,5,1,49.404264346818294,0,0.1293221516945074,71.58974246989993
0,4,1,31.873193736111304,0,0.18953436678916702,50.438198538980416
11,2,1,31.46291230891156,0,0.3945287042218903,58.65373027429891
7,1,0,46.69449133078223,1,1.0,150.72962766693712
23,3,1,6.813159183413655,0,0.17858123846955912,10.509559350150694
10,6,0,1.8679455222960317,0,0.3645065146683616,2.5252771997860246
18,0,0,34.28840319603113,1,1.0,110.57063123805969
16,5,2,31.08280558098501,0,0.2526999145479063,64.21278020059674
7,4,0,45.28199099588211,1,0.9564036694543291,141.6675996124809
2,3,1,16.498523059194056,0,0.12801641018534823,23.019073014050978
2,2,0,27.848889954264408,0,0.22013365787888128,36.81806498750755
0,6,2,28.449108460734394,0,0.08569213056421078,46.482097095928054
4,6,2,13.201370674739731,0,0.07954073413801424,23.79871999667472
9,3,1,18.322114689169368,1,0.8932519916195345,65.3959581381575
6,1,0,17.747141172146037,0,0.5433371213443065,32.42569571480479
8,1,0,42.30073216970099,1,1.0,138.4715661119355
6,1,2,19.088277637247554,0,0.3509518282850111,41.911009989011696
8,4,2,31.34432284915505,1,0.4945038245186945,104.57970802961441
7,6,2,19.00728355300492,1,0.38422911597854026,58.848830247049655
11,3,2,4.701511741520056,0,0.3160598467597009,9.463315644058666
1,3,2,46.32610691935806,0,0.10800004843831268,79.68211303138291
0,6,0,4.395322683489112,0,0.09033509152998234,5.380322918968968
15,2,0,0.998352686789151,0,0.4514004271489147,3.6032979877365676
22,0,0,13.920375581290978,0,0.23262034817599678,17.993608226979553
22,1,1,14.242926351355088,0,0.13221386529802212,21.67316540300756
23,0,1,14.867889585566939,0,0.15312991949279503,22.85710846128721
4,6,1,40.17857847096487,0,0.13792305359096432,57.199573025478266
2,6,0,14.701434321301202,0,0.11245040265257478,15.359405599262626
11,0,0,31.737342173083746,0,0.4272023532589157,51.78203340709288
7,1,1,0.8689105208952996,1,0.7359901404332522,4.630567850678682
21,1,0,44.67620713040162,0,0.5781635277599916,81.42178567137633
2,2,2,13.367660548336017,0,0.12873837707326496,24.285210946222083
0,4,1,27.108670559836362,0,0.13207980816044257,38.83677886517301
2,1,0,28.63174797639234,0,0.2147032945782288,38.32003295942109
4,0,2,12.375657728902844,0,0.12485175958618183,22.32897853005749
14,6,1,29.753874436292353,0,0.34971634138758206,53.18107374786425
13,2,0,43.41211088822262,0,0.6144709135389302,84.16760360385855
2,3,0,16.89142917879229,0,0.23929714000464833,22.44039794666998
0,6,2,46.718075227133504,0,0.08870123131742458,78.15324242891695
4,2,1,12.113043231444996,0,0.1811034932724144,17.77739009361519
22,1,0,6.3362038227833395,0,0.16042573673841648,7.011927643071859
13,6,2,17.808811031536862,0,0.23338007136394798,34.98209434443572
6,5,0,44.68312770175173,0,0.3763276758791853,68.32709173649782
8,1,0,8.488050995543254,1,0.8128872868860711,26.130731085087344
14,4,1,21.08486608337637,0,0.5713814434925256,48.976732873972665
14,2,1,31.401799465207663,0,0.5701964024061872,70.5952305956137
9,1,0,40.875903820885654,1,0.9663396001084114,131.764857152124
12,0,0,45.30165770441848,0,0.5317284182234175,81.34321113676413
18,0,1,49.596932312999435,1,0.8153933057095895,170.48499090518018
6,2,0,42.34091230572173,0,0.40643617830439444,68.60491986660358
16,6,0,0.9703298048024611,0,0.295330555012973,-0.23709267535476464
19,4,0,19.94894824490837,1,0.9065794664182406,59.530510582658714
3,5,2,42.78565679343004,0,0.07925858060323257,73.64498432164801
4,2,2,48.81558472760607,0,0.13783865476410745,89.96415348129777
22,4,1,3.446250318488309,0,0.15308483888450108,6.2218970449177196
6,0,0,17.323063020287197,0,0.3765167884357218,27.417492525029232
12,1,0,32.718545144973,0,0.5202784958691965,59.074299229042815
14,3,2,20.732240104684436,0,0.47883096035073563,52.63039441682448
10,1,1,8.25807720562825,0,0.42744523362066444,16.20413332994888
3,0,1,45.02385623206878,0,0.14487686446097223,66.8558979537707
12,5,0,15.559829112783644,0,0.4966235261352224,27.171954950599886
6,6,0,13.16041455627461,0,0.3377369136695715,21.336713514182517
18,0,2,28.795089119482103,1,0.7545021513883211,119.37407253125619
21,1,2,42.31242622475918,0,0.311145392086571,91.1067145887827
1,1,1,24.094240956825704,0,0.18853244723598367,37.650110200913694
9,5,2,6.051597987336444,1,0.4348472860426532,18.219818767688235
12,5,2,22.674290356374964,0,0.309335216338816,49.45250199438811
20,0,1,5.4006088475354,0,0.4537486103051934,9.71501113214851
5,1,1,9.106274633549138,0,0.15852832783283513,14.655184499426738
11,6,1,22.09812561350998,0,0.22873157807491354,36.42763128772233
11,3,0,6.164015338096654,0,0.4383599600010214,11.113511826372697
19,3,0,33.66948906675695,1,0.8468074015633432,99.0729154396818
10,2,2,27.421197350636586,0,0.243704041923719,56.80038434764305
22,3,2,17.490893442261505,0,0.1329009644920149,29.774726943212038
6,0,2,8.373622816030494,0,0.39231008995986116,18.940550285521926
0,0,0,25.89437719462464,0,0.14779788653639817,30.11396618193503
0,2,0,40.018902645919226,0,0.20739526111062045,53.499991427388686
19,6,1,37.58940894647636,1,0.6067314505305035,112.35742917207016
12,4,1,48.63620557078845,0,0.5122414011802933,101.65595577434479
